;Site;Date;BOD5;TSS;NH3;TP;Cd;Cr;Cu;Pb;Ni;Zn
0;IssCT02;22/05/2004;36,0;27,0;1,3;0,99;0,00085;0,0009;0,0099;0,00125;0,0019;0,049
1;IssCT07;14/05/2004;25,0;66,0;0,92;1,0;0,0017;0,017;0,039;0,053;0,0057;0,13
2;IssCT07;22/05/2004;53,0;43,0;1,1;0,94;0,00085;0,067;0,017;0,016;0,0034;0,064
3;IssCT08;14/05/2004;15,0;97,0;0,73;1,2;0,0017;0,025;0,025;0,065;0,0074;0,12
4;IssCT08;22/05/2004;9,2;63,0;0,57;0,69;0,00085;0,0046;0,015;0,013;0,0023;0,057
5;IssCT34;13/05/2004;15,0;340,0;1,0;1,2;0,0017;0,018;0,049;0,16;0,012;0,22
6;IssCT34;20/05/2004;18,0;46,0;0,78;0,75;0,0017;0,0036;0,018;0,019;0,0028;0,082
7;IssCT56;13/05/2004;88,0;220,0;1,5;1,3;0,0022;0,016;0,043;0,14;0,012;0,25
8;IssCT56;22/05/2004;77,0;73,0;1,6;2,4;0,00085;0,0039;0,03;0,017;0,0035;0,082
9;IssCT56;25/09/2005;3,0;37,0;0,095;0,46;0,0034;0,016;0,026;0,029;0,0087;0,11
10;IssCT56;13/03/2006;80,0;53,0;0,72;0,84;0,00085;0,008;0,015;0,016;0,0044;0,093
11;IssKK01;14/05/2004;15,0;60,0;1,3;1,1;0,0017;0,025;0,024;0,036;0,015;0,1
12;IssKK01;22/05/2004;14,0;36,0;1,5;0,98;0,00085;0,0035;0,011;0,017;0,0024;0,056
13;IssKK01;25/09/2005;3,0;77,0;0,095;0,61;0,0017;0,013;0,017;0,06;0,0045;0,095
14;IssKK02;14/05/2004;15,0;28,0;1,4;1,4;0,0017;0,006;0,02;0,015;0,0021;0,06
15;IssKK02;22/05/2004;4,0;31,0;0,73;0,67;0,00085;0,0023;0,0095;0,0062;0,0019;0,056
16;IssKK02;13/03/2006;2,0;11,0;0,4;0,41;0,00085;0,0048;0,007;0,0008;0,0015;0,041
17;IssKK03;13/05/2004;15,0;170,0;1,2;1,5;0,0017;0,013;0,045;0,16;0,0079;0,19
18;IssKK03;22/05/2004;14,0;26,0;0,95;0,74;0,00085;0,0028;0,015;0,02;0,0018;0,057
19;IssKK03;25/09/2005;14,0;63,0;0,52;0,58;0,0017;0,013;0,017;0,032;0,0046;0,08
20;IssKK04;14/05/2004;63,0;35,0;2,1;2,9;0,0017;0,0038;0,025;0,0066;0,0034;0,071
21;IssKK04;22/05/2004;12,0;18,0;0,74;0,71;0,00085;0,0009;0,016;0,0095;0,0021;0,051
22;IssLMN;13/05/2004;17,0;73,0;1,0;1,4;0,0017;0,0065;0,027;0,057;0,0053;0,11
23;IssLMN;22/05/2004;3,0;6,7;0,28;0,54;0,00085;0,0019;0,0081;0,0042;0,0018;0,023
24;IssLMN;26/09/2005;6,7;28,0;0,52;0,51;0,0017;0,0083;0,017;0,01;0,0095;0,079
25;IssLMN;13/03/2006;4,6;17,0;0,64;0,47;0,00085;0,0052;0,0078;0,0044;0,0023;0,048
26;IssLMS;14/05/2004;15,0;67,0;0,59;5,1;0,0017;0,0059;0,015;0,022;0,0063;0,063
27;IssLMS;22/05/2004;13,0;11,0;1,1;0,8;0,00085;0,0018;0,009;0,0074;0,0016;0,04
28;IssNS04;13/05/2004;15,0;150,0;1,1;1,0;0,0017;0,015;0,047;0,045;0,011;0,12
29;IssNS04;21/05/2004;10,0;28,0;0,43;0,5;0,0017;0,0027;0,017;0,0055;0,0034;0,038
30;IssNS04;13/03/2006;13,0;21,0;0,9;0,87;0,00085;0,0047;0,012;0,0029;0,0023;0,057
31;IssNS05;14/05/2004;15,0;43,0;1,0;1,6;0,0017;0,0071;0,019;0,045;0,0044;0,11
32;IssNS05;22/05/2004;4,0;51,0;0,59;0,57;0,00085;0,0037;0,014;0,029;0,0029;0,075
33;IssNS06;14/05/2004;15,0;16,0;1,2;1,7;0,0017;0,0049;0,014;0,019;0,0026;0,048
34;IssNS06;22/05/2004;3,0;18,0;0,43;0,54;0,00085;0,0043;0,011;0,009;0,0027;0,096
35;IssNS06;25/09/2005;3,0;49,0;0,095;0,48;0,0017;0,01;0,02;0,027;0,0061;0,07
36;IssNS06;13/03/2006;2,0;13,0;0,39;0,42;0,00085;0,0046;0,01;0,0061;0,0014;0,045
37;IssNS07;13/05/2004;15,0;140,0;0,81;1,1;0,0017;0,019;0,041;0,094;0,0063;0,14
38;IssNS07;21/05/2004;20,0;33,0;0,98;0,87;0,0017;0,0028;0,016;0,02;0,0028;0,058
39;IssNS07;13/03/2006;30,0;30,0;1,6;1,0;0,00085;0,0047;0,0086;0,0074;0,003;0,052
40;IssNS08;14/05/2004;27,0;170,0;0,81;2,1;0,0017;0,014;0,053;0,069;0,016;0,15
41;IssNS08;21/05/2004;24,0;73,0;1,0;0,88;0,0017;0,0072;0,029;0,024;0,0053;0,081
42;IssNS08;13/03/2006;11,0;32,0;0,85;0,73;0,0075;0,0071;0,0099;0,0085;0,0033;0,083
43;IssNS09;14/05/2004;15,0;170,0;0,45;1,9;0,0022;0,016;0,038;0,2;0,013;0,19
44;IssNS09;21/05/2004;6,0;110,0;0,32;0,66;0,0017;0,011;0,02;0,045;0,0053;0,084
45;IssNS10;14/05/2004;15,0;31,0;0,59;1,0;0,0017;0,0079;0,017;0,016;0,003;0,064
46;IssNS10;22/05/2004;8,6;41,0;1,1;0,68;0,00085;0,0069;0,016;0,011;0,0033;0,069
47;IssNS10;26/09/2005;3,0;37,0;0,095;0,42;0,0017;0,015;0,022;0,089;0,0036;0,083
48;IssNS11;13/05/2004;15,0;180,0;0,81;1,0;0,0017;0,013;0,04;0,06;0,011;0,14
49;IssNS11;21/05/2004;6,4;35,0;0,43;0,56;0,0017;0,004;0,013;0,014;0,0025;0,063
50;IssNS11;13/03/2006;16,0;21,0;1,2;0,75;0,00085;0,01;0,013;0,0046;0,0021;0,1
51;IssNS12;13/05/2004;15,0;110,0;1,0;1,0;0,0017;0,0094;0,026;0,35;0,0065;0,15
52;IssNS12;21/05/2004;6,4;23,0;0,39;0,59;0,0017;0,0022;0,0093;0,01;0,0021;0,051
